62,4,4,0.000159922
63,4,4,0.000164035
64,4,4,0.000162988
65,4,4,0.000168693
66,4,4,0.000162138
67,4,4,0.000158131
68,4,4,0.000159163
69,4,4,0.000165094
70,4,4,0.000160676
71,4,4,0.000158637
72,4,4,0.000156729
73,4,4,0.000160716
74,4,4,0.000155016
75,4,4,0.000163504
76,4,4,0.000173207
77,4,4,0.00016946
78,4,4,0.000161445
79,4,4,0.000146469
80,4,4,0.000147697
81,4,4,0.000148258
82,4,4,0.000146257
83,4,4,0.000152841
84,4,4,0.000160446
85,4,4,0.000164829
86,4,4,0.000155559
87,4,4,0.000150053
88,4,4,0.00014384
89,4,4,0.000152971
90,4,4,0.000153292
91,4,4,0.000155223
92,4,4,0.000147902
93,4,4,0.000147238
94,4,4,0.000152135
95,4,4,0.000157873
96,4,4,0.000145998
97,4,4,0.000135531
98,4,4,0.000119248
99,4,4,0.000138724
0,8,4,0.000607082
1,8,4,0.000872681
2,8,4,0.000814407
3,8,4,0.00087924
4,8,4,0.000223735
5,8,4,0.000213794
6,8,4,0.000214032
7,8,4,0.000220119
8,8,4,0.000219505
9,8,4,0.000217553
10,8,4,0.000209513
11,8,4,0.000212787
12,8,4,0.000210854
13,8,4,0.000215257
14,8,4,0.000211384
15,8,4,0.000212852
16,8,4,0.000212877
17,8,4,0.000216136
18,8,4,0.000210771
19,8,4,0.000211109
20,8,4,0.000224545
21,8,4,0.000218207
22,8,4,0.000210019
23,8,4,0.000202148
24,8,4,0.000208098
25,8,4,0.000205148
26,8,4,0.000176957
27,8,4,0.000161373
28,8,4,0.000140666
29,8,4,0.000140053
30,8,4,0.00012849
31,8,4,0.000131153
32,8,4,0.000127003
33,8,4,0.00016562
34,8,4,0.000130118
35,8,4,9.63591e-05
36,8,4,0.000117693
37,8,4,0.00012054
38,8,4,0.000118556
39,8,4,0.000120348
40,8,4,0.000118369
41,8,4,0.000117412
42,8,4,0.000129299
43,8,4,0.000139008
44,8,4,0.000155311
45,8,4,0.000153973
46,8,4,0.00015886
47,8,4,0.000164325
48,8,4,0.000164571
49,8,4,0.000206408
50,8,4,0.000147549
51,8,4,0.000106646
52,8,4,0.000144095
53,8,4,0.000142217
54,8,4,0.000131017
55,8,4,0.000118479
56,8,4,0.000119836
57,8,4,0.000118005
58,8,4,0.000118654
59,8,4,0.00010978
60,8,4,0.000110759
61,8,4,0.000105156
62,8,4,0.000112172
63,8,4,0.000109668
