45,512,4,0.0205004
46,512,4,0.0194982
47,512,4,0.0194943
48,512,4,0.0195005
49,512,4,0.0195012
50,512,4,0.0195006
51,512,4,0.0194949
52,512,4,0.0194974
53,512,4,0.0192452
54,512,4,0.0192478
55,512,4,0.0192479
56,512,4,0.0194969
57,512,4,0.0194974
58,512,4,0.0194981
59,512,4,0.0195002
60,512,4,0.0194987
61,512,4,0.0194968
62,512,4,0.0194947
63,512,4,0.019499
64,512,4,0.0194988
65,512,4,0.0194973
66,512,4,0.0194971
67,512,4,0.0194963
68,512,4,0.0194975
69,512,4,0.0194984
70,512,4,0.0195006
71,512,4,0.0194994
72,512,4,0.0194959
73,512,4,0.0194985
74,512,4,0.0187477
75,512,4,0.0187546
76,512,4,0.0187472
77,512,4,0.0194879
78,512,4,0.0194983
79,512,4,0.0219991
80,512,4,0.0245001
81,512,4,0.0244996
82,512,4,0.021998
83,512,4,0.0194956
84,512,4,0.0194974
85,512,4,0.0194999
86,512,4,0.0195
87,512,4,0.0194977
88,512,4,0.0194963
89,512,4,0.0194995
90,512,4,0.019498
91,512,4,0.019495
92,512,4,0.0194983
93,512,4,0.0194982
94,512,4,0.0194967
95,512,4,0.019498
96,512,4,0.0194982
97,512,4,0.0194989
98,512,4,0.0194996
99,512,4,0.019496
0,1024,4,0.011771
1,1024,4,0.0129859
2,1024,4,0.0188483
3,1024,4,0.025336
4,1024,4,0.0258784
5,1024,4,0.0258786
6,1024,4,0.0259141
7,1024,4,0.025897
8,1024,4,0.025895
9,1024,4,0.0258966
10,1024,4,0.0257869
11,1024,4,0.0258915
12,1024,4,0.0258742
13,1024,4,0.0258962
14,1024,4,0.025905
15,1024,4,0.025894
16,1024,4,0.025905
17,1024,4,0.0259131
18,1024,4,0.0258953
19,1024,4,0.0259138
20,1024,4,0.0258973
21,1024,4,0.0251435
22,1024,4,0.0251616
23,1024,4,0.0251047
24,1024,4,0.0251329
25,1024,4,0.0258958
26,1024,4,0.0259164
27,1024,4,0.025901
28,1024,4,0.0258793
29,1024,4,0.0258969
30,1024,4,0.0258879
31,1024,4,0.0234369
32,1024,4,0.013916
33,1024,4,0.00747972
34,1024,4,0.00103475
35,1024,4,0.000180042
36,1024,4,0.000160055
37,1024,4,0.000154802
38,1024,4,0.000166642
39,1024,4,0.000149938
40,1024,4,0.000136435
41,1024,4,8.88376e-05
42,1024,4,0.000101096
43,1024,4,0.000116419
44,1024,4,0.000116713
45,1024,4,0.000102594
46,1024,4,9.07914e-05
47,1024,4,9.09644e-05
48,1024,4,9.22541e-05
49,1024,4,8.82265e-05
50,1024,4,8.6774e-05
51,1024,4,9.17709e-05
52,1024,4,8.72572e-05
53,1024,4,8.22973e-05
54,1024,4,9.71758e-05
55,1024,4,0.000107024
56,1024,4,0.000120618
57,1024,4,0.000123471
58,1024,4,0.0001368
59,1024,4,0.000147386
60,1024,4,0.000145444
61,1024,4,0.000129334
62,1024,4,0.000130624
63,1024,4,0.000128678
64,1024,4,0.000117003
65,1024,4,9.36763e-05
66,1024,4,8.6656e-05
67,1024,4,9.13948e-05
68,1024,4,9.33635e-05
69,1024,4,9.41824e-05
70,1024,4,0.000101822
71,1024,4,0.00011393
72,1024,4,0.000122023
73,1024,4,0.000108768
74,1024,4,0.000125487
75,1024,4,0.00014811
76,1024,4,0.0001499
77,1024,4,0.000131485
78,1024,4,0.000128971
79,1024,4,0.000132082
80,1024,4,0.000136493
81,1024,4,0.000123288
82,1024,4,0.000123057
83,1024,4,0.000120623
84,1024,4,0.000118481
85,1024,4,0.000119601
86,1024,4,0.00011654
87,1024,4,0.000117244
88,1024,4,0.000118289
89,1024,4,0.000122594
90,1024,4,0.00012877
91,1024,4,0.000141209
92,1024,4,0.000138546
93,1024,4,0.000133792
94,1024,4,0.000120655
95,1024,4,0.000120182
96,1024,4,0.0001169
97,1024,4,0.000117665
98,1024,4,0.000104584
99,1024,4,9.2712e-05
0,2048,4,0.0116022
1,2048,4,0.0129545
2,2048,4,0.0188317
3,2048,4,0.0253396
4,2048,4,0.0258947
5,2048,4,0.0258946
6,2048,4,0.0259031
7,2048,4,0.0258894
8,2048,4,0.0258901
9,2048,4,0.0258864
10,2048,4,0.0258932
11,2048,4,0.0258871
12,2048,4,0.0258846
13,2048,4,0.0258901
14,2048,4,0.0258975
15,2048,4,0.025911
16,2048,4,0.0234082
17,2048,4,0.0249976
18,2048,4,0.0246483
19,2048,4,0.0246374
20,2048,4,0.0256471
21,2048,4,0.0256275
22,2048,4,0.0258922
23,2048,4,0.0258811
24,2048,4,0.025882
25,2048,4,0.0258859
26,2048,4,0.0258721
27,2048,4,0.0259287
28,2048,4,0.0258714
29,2048,4,0.0258878
30,2048,4,0.0258242
31,2048,4,0.0259163
32,2048,4,0.0259087
33,2048,4,0.0256309
34,2048,4,0.0256375
35,2048,4,0.0256567
36,2048,4,0.0256385
37,2048,4,0.0259384
38,2048,4,0.025898
39,2048,4,0.0258896
40,2048,4,0.0259175
41,2048,4,0.0258742
42,2048,4,0.0258873
43,2048,4,0.0258599
44,2048,4,0.0256484
45,2048,4,0.0256248
46,2048,4,0.0256116
47,2048,4,0.0256426
48,2048,4,0.0256475
49,2048,4,0.0256465
50,2048,4,0.0256198
51,2048,4,0.025649
52,2048,4,0.0256276
53,2048,4,0.0311316
54,2048,4,0.0312553
55,2048,4,0.0311116
56,2048,4,0.0286258
57,2048,4,0.0258895
58,2048,4,0.0258762
59,2048,4,0.0258892
60,2048,4,0.0259524
61,2048,4,0.0258927
62,2048,4,0.0259438
63,2048,4,0.025895
64,2048,4,0.0258876
65,2048,4,0.0258941
66,2048,4,0.0259054
67,2048,4,0.0259235
68,2048,4,0.0259077
69,2048,4,0.02591
70,2048,4,0.0259232
71,2048,4,0.0259026
72,2048,4,0.0259217
73,2048,4,0.0259036
74,2048,4,0.0289181
75,2048,4,0.0274545
76,2048,4,0.0273771
77,2048,4,0.0258956
78,2048,4,0.0259304
79,2048,4,0.0259332
80,2048,4,0.0258979
81,2048,4,0.0258827
82,2048,4,0.0259284
83,2048,4,0.0258737
84,2048,4,0.0256673
85,2048,4,0.025394
86,2048,4,0.0253973
87,2048,4,0.0251219
88,2048,4,0.0254077
89,2048,4,0.0256535
90,2048,4,0.0251516
91,2048,4,0.0253648
92,2048,4,0.0253828
93,2048,4,0.025431
94,2048,4,0.0258879
