60,4,4,0.000131493
61,4,4,0.000108778
62,4,4,0.000102879
63,4,4,9.1593e-05
64,4,4,0.000105101
65,4,4,0.000108707
66,4,4,0.000120232
67,4,4,0.000123396
68,4,4,0.000147448
69,4,4,0.000148819
70,4,4,0.000147003
71,4,4,0.000126003
72,4,4,0.000110469
73,4,4,9.64347e-05
74,4,4,9.11322e-05
75,4,4,9.25851e-05
76,4,4,8.81511e-05
77,4,4,0.000105261
78,4,4,0.000121067
79,4,4,0.000141923
80,4,4,0.000141097
81,4,4,0.000144899
82,4,4,0.000159203
83,4,4,0.000156157
84,4,4,0.000147326
85,4,4,0.000126696
86,4,4,0.000123787
87,4,4,0.000135892
88,4,4,0.000131728
89,4,4,0.000119446
90,4,4,9.26675e-05
91,4,4,8.48803e-05
92,4,4,9.64077e-05
93,4,4,0.000101877
94,4,4,0.000105937
95,4,4,0.000103775
96,4,4,0.000123213
97,4,4,0.00012717
98,4,4,0.000124475
99,4,4,0.000134033
0,8,4,6.87451e-05
1,8,4,0.000688886
2,8,4,0.000754233
3,8,4,0.000793155
4,8,4,0.000168814
5,8,4,0.000117171
6,8,4,0.000113427
7,8,4,0.000143133
8,8,4,0.00016663
9,8,4,0.000187329
10,8,4,0.00019466
11,8,4,0.000211853
12,8,4,0.000220461
13,8,4,0.000195211
14,8,4,0.000172153
15,8,4,0.000190405
16,8,4,0.000194845
17,8,4,0.000211727
18,8,4,0.00022129
19,8,4,0.000206045
20,8,4,0.000199948
21,8,4,0.000199409
22,8,4,0.000209751
23,8,4,0.000223973
24,8,4,0.000216028
25,8,4,0.000208123
26,8,4,0.000189443
27,8,4,0.000189075
28,8,4,0.000172017
29,8,4,0.000161548
30,8,4,0.000161225
31,8,4,0.000159451
32,8,4,0.000177318
33,8,4,0.000166707
34,8,4,0.000180789
35,8,4,0.00017736
36,8,4,0.000192361
37,8,4,0.000252649
38,8,4,0.000301058
39,8,4,0.000316899
40,8,4,0.000260096
41,8,4,0.000221947
42,8,4,0.000211494
43,8,4,0.000223009
44,8,4,0.000211016
45,8,4,0.000195171
46,8,4,0.000192205
47,8,4,0.000207735
48,8,4,0.000208453
49,8,4,0.000194019
50,8,4,0.000180108
51,8,4,0.000175925
52,8,4,0.000173328
53,8,4,0.000171223
54,8,4,0.000172668
55,8,4,0.000188885
56,8,4,0.000189576
