85,32,4,0.000157871
86,32,4,0.000147637
87,32,4,0.00013729
88,32,4,0.000157548
89,32,4,0.000181057
90,32,4,0.000196517
91,32,4,0.000177579
92,32,4,0.000159421
93,32,4,0.000147115
94,32,4,0.000141292
95,32,4,0.000160686
96,32,4,0.000155121
97,32,4,0.000151739
98,32,4,0.000134989
99,32,4,0.000133498
0,64,4,8.66612e-05
1,64,4,0.000184745
2,64,4,0.000217907
3,64,4,0.000291995
4,64,4,0.000208181
5,64,4,0.000213085
6,64,4,0.000182305
7,64,4,0.000140944
8,64,4,0.000127877
9,64,4,0.000120956
10,64,4,0.000122181
11,64,4,0.000118496
12,64,4,0.000119453
13,64,4,0.000131659
14,64,4,0.000145655
15,64,4,0.000179762
16,64,4,0.00015352
17,64,4,0.000138429
18,64,4,0.000126196
19,64,4,0.000147454
20,64,4,0.000154695
21,64,4,0.000144017
22,64,4,0.00013101
23,64,4,0.000129222
24,64,4,0.000139451
25,64,4,0.000155742
26,64,4,0.000173979
27,64,4,0.000175737
28,64,4,0.000173065
29,64,4,0.00015859
30,64,4,0.000149968
31,64,4,0.000127714
32,64,4,0.000114672
33,64,4,0.00011343
34,64,4,0.000122379
35,64,4,0.000147877
36,64,4,0.000166868
37,64,4,0.000158247
38,64,4,0.000149355
39,64,4,0.000131389
40,64,4,0.000143386
41,64,4,0.000141848
42,64,4,0.000152005
43,64,4,0.000150447
44,64,4,0.00016788
45,64,4,0.000169415
46,64,4,0.000174222
47,64,4,0.000168904
48,64,4,0.000168439
49,64,4,0.000164536
50,64,4,0.000155273
51,64,4,0.000155234
52,64,4,0.0001535
53,64,4,0.000145675
54,64,4,0.000144994
55,64,4,0.000134043
56,64,4,0.000126532
57,64,4,0.000125344
58,64,4,0.000137097
59,64,4,0.000136225
60,64,4,0.000122547
61,64,4,0.00010955
62,64,4,0.000109637
63,64,4,0.000111148
64,64,4,0.000110168
65,64,4,0.000105377
66,64,4,0.000103916
67,64,4,0.000117467
68,64,4,0.000119666
69,64,4,0.000119543
70,64,4,0.000122136
71,64,4,0.000129783
72,64,4,0.000141314
73,64,4,0.000134592
74,64,4,0.000138119
75,64,4,0.00014307
76,64,4,0.00014665
77,64,4,0.000145816
78,64,4,0.000143329
79,64,4,0.000157979
80,64,4,0.000156046
81,64,4,0.000151181
82,64,4,0.000142793
83,64,4,0.000165455
84,64,4,0.000187797
85,64,4,0.000173238
86,64,4,0.000144789
87,64,4,0.000117888
88,64,4,0.000115586
89,64,4,0.000144032
90,64,4,0.000169087
91,64,4,0.000179379
92,64,4,0.000173471
93,64,4,0.000161914
94,64,4,0.000147699
95,64,4,0.000117223
96,64,4,9.49518e-05
97,64,4,0.000104906
98,64,4,0.000119288
99,64,4,0.00012122
0,128,4,6.94289e-05
1,128,4,0.000168541
2,128,4,0.000233283
3,128,4,0.000277833
4,128,4,0.000176161
5,128,4,0.000138707
6,128,4,0.000151349
7,128,4,0.000155494
8,128,4,0.000149571
9,128,4,0.000134687
10,128,4,0.000119601
11,128,4,0.000117254
12,128,4,0.000116137
13,128,4,0.000115949
14,128,4,0.000102198
15,128,4,0.000113157
16,128,4,0.000110241
17,128,4,0.00012133
18,128,4,0.000119696
19,128,4,9.96212e-05
20,128,4,9.97032e-05
21,128,4,0.000102031
22,128,4,0.000105092
23,128,4,0.00010718
24,128,4,0.000106211
25,128,4,0.00013219
26,128,4,0.000127929
27,128,4,0.000125883
28,128,4,9.93679e-05
29,128,4,8.86726e-05
30,128,4,7.75012e-05
31,128,4,8.06397e-05
32,128,4,8.13389e-05
33,128,4,8.30945e-05
34,128,4,7.99741e-05
35,128,4,7.90518e-05
36,128,4,7.67303e-05
37,128,4,7.73862e-05
38,128,4,7.74565e-05
39,128,4,7.98004e-05
40,128,4,8.11582e-05
41,128,4,8.3538e-05
42,128,4,7.82779e-05
43,128,4,7.45363e-05
44,128,4,8.96722e-05
45,128,4,0.000100037
46,128,4,0.000107351
47,128,4,9.63898e-05
48,128,4,9.66555e-05
49,128,4,9.93558e-05
50,128,4,9.71488e-05
51,128,4,8.45448e-05
52,128,4,8.52584e-05
53,128,4,7.66276e-05
54,128,4,7.61619e-05
55,128,4,8.79518e-05
56,128,4,9.97332e-05
57,128,4,0.000128443
58,128,4,0.000113014
59,128,4,0.000107371
60,128,4,8.56845e-05
61,128,4,8.23154e-05
62,128,4,8.15343e-05
63,128,4,8.07424e-05
64,128,4,8.05322e-05
65,128,4,8.41487e-05
