7,4,4,0.000103681
8,4,4,0.000123934
9,4,4,0.000113229
10,4,4,0.000115405
11,4,4,9.3171e-05
12,4,4,8.88678e-05
13,4,4,8.92862e-05
14,4,4,8.81766e-05
15,4,4,8.94089e-05
16,4,4,8.55867e-05
17,4,4,9.15378e-05
18,4,4,9.15956e-05
19,4,4,0.000105577
20,4,4,0.000125928
21,4,4,0.00013484
22,4,4,0.000129352
23,4,4,0.000111288
24,4,4,0.000104182
25,4,4,9.62696e-05
26,4,4,9.69958e-05
27,4,4,9.98431e-05
28,4,4,0.000100893
29,4,4,9.8731e-05
30,4,4,0.000116976
31,4,4,0.000125336
32,4,4,0.000120247
33,4,4,0.00010461
34,4,4,0.000136728
35,4,4,0.000150963
36,4,4,0.000160122
37,4,4,0.000130822
38,4,4,0.000111606
39,4,4,9.57435e-05
40,4,4,8.62908e-05
41,4,4,8.54935e-05
42,4,4,9.65944e-05
43,4,4,0.000103227
44,4,4,0.000125432
45,4,4,0.000117412
46,4,4,0.000113492
47,4,4,9.04234e-05
48,4,4,8.53485e-05
49,4,4,8.47827e-05
50,4,4,8.42942e-05
51,4,4,8.82992e-05
52,4,4,8.97269e-05
53,4,4,9.96185e-05
54,4,4,0.000110306
55,4,4,0.000122381
56,4,4,0.000118218
57,4,4,0.000121406
58,4,4,0.000123748
59,4,4,0.000130299
60,4,4,0.00011669
61,4,4,0.000107748
62,4,4,9.46087e-05
63,4,4,9.48512e-05
64,4,4,9.67252e-05
65,4,4,9.55252e-05
66,4,4,9.5831e-05
67,4,4,8.86242e-05
68,4,4,8.36734e-05
69,4,4,8.58649e-05
70,4,4,8.50332e-05
71,4,4,8.50605e-05
72,4,4,8.23304e-05
73,4,4,8.76081e-05
74,4,4,8.90009e-05
75,4,4,8.98366e-05
76,4,4,8.57068e-05
77,4,4,8.38984e-05
78,4,4,8.78212e-05
79,4,4,8.8788e-05
80,4,4,8.91657e-05
81,4,4,8.8382e-05
82,4,4,8.8422e-05
83,4,4,8.44419e-05
84,4,4,8.36052e-05
85,4,4,8.68461e-05
86,4,4,8.57399e-05
87,4,4,8.66943e-05
88,4,4,8.17869e-05
89,4,4,8.44022e-05
